2	1
26	1
49	1
50	1
51	1
52	1
53	1
58	1
70	1
76	1
79	1
92	1
99	1
101	1
102	1
131	1
142	1
155	1
156	1
245	1
267	1
288	1
296	1
302	1
342	1
374	1
384	1
388	1
393	1
402	1
468	1
478	1
496	1
663	1
744	1
1	2
3	2
4	2
22	2
26	2
49	2
50	2
51	2
52	2
58	2
70	2
76	2
79	2
92	2
95	2
99	2
100	2
101	2
102	2
111	2
131	2
142	2
143	2
150	2
153	2
155	2
156	2
166	2
243	2
267	2
288	2
289	2
296	2
302	2
309	2
313	2
342	2
373	2
374	2
381	2
384	2
388	2
393	2
462	2
468	2
478	2
488	2
496	2
526	2
534	2
663	2
664	2
680	2
744	2
749	2
780	2
830	2
862	2
1104	2
1419	2
1554	2
1561	2
1676	2
2	3
4	3
22	3
99	3
101	3
102	3
131	3
155	3
242	3
243	3
296	3
309	3
380	3
384	3
388	3
439	3
478	3
614	3
643	3
720	3
1032	3
2	4
3	4
101	4
102	4
131	4
155	4
158	4
243	4
296	4
309	4
384	4
386	4
388	4
393	4
439	4
478	4
614	4
621	4
643	4
720	4
6	5
174	5
292	5
313	5
469	5
688	5
1110	5
1124	5
5	6
14	6
98	6
109	6
117	6
292	6
313	6
420	6
465	6
469	6
637	6
734	6
1082	6
1110	6
1124	6
1125	6
1213	6
1301	6
1309	6
1531	6
1693	6
8	7
244	7
293	7
307	7
311	7
874	7
1012	7
1016	7
1027	7
1030	7
1138	7
1733	7
1882	7
7	8
51	8
244	8
246	8
269	8
293	8
307	8
311	8
976	8
980	8
1012	8
1027	8
1030	8
1036	8
1138	8
1232	8
1319	8
1733	8
1760	8
10	9
21	9
144	9
145	9
218	9
304	9
975	9
1038	9
1154	9
1155	9
1194	9
1195	9
1222	9
1227	9
1342	9
1472	9
1588	9
1836	9
1883	9
1917	9
1948	9
2054	9
9	10
21	10
145	10
218	10
506	10
975	10
1038	10
1154	10
1192	10
1649	10
12	11
13	11
27	11
55	11
56	11
57	11
59	11
144	11
152	11
219	11
242	11
264	11
268	11
281	11
310	11
321	11
367	11
379	11
402	11
410	11
460	11
461	11
470	11
495	11
510	11
515	11
563	11
564	11
600	11
719	11
796	11
831	11
1109	11
1540	11
11	12
13	12
14	12
54	12
55	12
56	12
57	12
59	12
242	12
264	12
268	12
281	12
11	13
12	13
14	13
27	13
54	13
55	13
56	13
57	13
242	13
264	13
268	13
310	13
314	13
379	13
410	13
461	13
600	13
934	13
1109	13
1208	13
11	14
12	14
13	14
27	14
54	14
55	14
56	14
57	14
59	14
242	14
264	14
268	14
281	14
310	14
314	14
321	14
379	14
461	14
600	14
1109	14
2120	14
16	15
74	15
188	15
239	15
330	15
688	15
912	15
965	15
15	16
74	16
150	16
188	16
196	16
978	16
1225	16
1494	16
18	17
191	17
1205	17
1229	17
1549	17
2140	17
2141	17
17	18
235	18
370	18
2140	18
2169	18
2184	18
2185	18
2186	18
20	19
29	19
96	19
459	19
1504	19
19	20
96	20
321	20
337	20
517	20
541	20
